emp_no,first_name,last_name,birth_date,title,dept_name
32347,Terresa,Peres,1965-01-08,Staff,Marketing
32552,Atreye,Stanger,1965-01-17,Engineer,Development
32622,Piyush,Paciorek,1965-01-23,Staff,Human Resources
32649,Ingmar,Nannarelli,1965-01-12,Senior Staff,Research
32714,Radoslaw,Maliniak,1965-01-16,Staff,Marketing
32844,Tadahiko,Melton,1965-01-23,Engineer,Development
33025,Jessie,Thorelli,1965-01-12,Senior Staff,Customer Service
33215,Steen,Fasbender,1965-01-29,Technique Leader,Production
33293,Adamantios,Vanwelkenhuysen,1965-02-01,Assistant Engineer,Development
33606,Clyde,Swift,1965-01-02,Staff,Marketing
33722,Anwar,Collette,1965-01-15,Senior Engineer,Research
34077,Angel,Sichman,1965-01-08,Senior Staff,Sales
34261,Kyoichi,Callaway,1965-01-05,Senior Staff,Human Resources
34446,Chinhyun,Bauknecht,1965-01-31,Senior Engineer,Development
34452,Naftaly,Foong,1965-01-08,Senior Engineer,Production
34505,Felicidad,Kumaresan,1965-01-28,Staff,Sales
34533,Erzsebet,Shigei,1965-01-10,Senior Engineer,Quality Management
34780,Moni,Kohling,1965-01-16,Staff,Marketing
34788,Ennio,Babu,1965-01-27,Senior Engineer,Production
34936,Bokyung,Stamatiou,1965-01-12,Technique Leader,Production
35044,Jiang,Waschkowski,1965-01-04,Senior Engineer,Production
35087,Leif,Ashish,1965-01-17,Staff,Customer Service
35441,Chandrasekaran,Peek,1965-01-31,Engineer,Development
35642,Ashish,Talmon,1965-01-30,Engineer,Quality Management
35793,Oscar,Kusalik,1965-01-01,Senior Staff,Customer Service
35798,Ulf,Oberman,1965-01-29,Senior Engineer,Development
36521,Serif,Gladwell,1965-01-21,Staff,Finance
36626,Fen,Genin,1965-01-02,Senior Staff,Sales
36733,Uma,Reinhard,1965-01-04,Staff,Customer Service
36844,Hailing,Levergood,1965-01-01,Staff,Customer Service
36982,Kotesh,Rajala,1965-01-22,Senior Engineer,Quality Management
37070,Jeong,Undy,1965-01-22,Staff,Customer Service
37592,Berni,Stranks,1965-02-01,Engineer,Development
37719,Nakhoon,Buescher,1965-01-31,Engineer,Production
37945,Suzette,Butterworth,1965-01-02,Senior Engineer,Development
38017,Ulf,Himler,1965-01-24,Staff,Customer Service
38043,Michaela,Randi,1965-01-05,Engineer,Development
38103,Masasuke,Babu,1965-01-12,Senior Engineer,Production
38168,Fumiko,Deverell,1965-01-14,Staff,Sales
38550,JoAnne,Baez,1965-01-14,Senior Engineer,Quality Management
38593,Huei,Orsini,1965-01-14,Engineer,Production
38947,Shuichi,Ruemmler,1965-01-25,Staff,Marketing
39000,Martijn,Vendrig,1965-01-08,Senior Staff,Research
39036,Changho,Cappelli,1965-01-08,Staff,Human Resources
39268,Constantijn,Awdeh,1965-01-10,Engineer,Production
39301,Rimon,Kawashima,1965-01-07,Staff,Research
39341,Mahmut,Lampe,1965-01-01,Senior Engineer,Production
39952,Otmar,Sudbeck,1965-01-02,Staff,Sales
40269,Toshiki,Ghazalie,1965-01-10,Staff,Sales
40283,Sudhanshu,Boissier,1965-01-07,Senior Engineer,Development
40301,Spyrose,Felder,1965-01-20,Senior Engineer,Customer Service
40536,Harngdar,Bernardinello,1965-01-20,Senior Engineer,Development
40648,Wayne,Erev,1965-01-23,Staff,Finance
40765,Michaela,Ramsak,1965-01-01,Senior Staff,Research
40773,Shimshon,Aingworth,1965-01-09,Senior Staff,Customer Service
40785,Youpyo,Castellani,1965-01-31,Engineer,Production
40983,Marla,Cherinka,1965-01-17,Technique Leader,Development
41114,Petter,Thummel,1965-01-25,Technique Leader,Production
41137,Bikash,Buchter,1965-01-20,Senior Staff,Customer Service
41357,Willard,Vernadat,1965-01-06,Engineer,Development
41518,Keung,Schapiro,1965-01-11,Senior Engineer,Quality Management
41520,Xiong,Uhrik,1965-01-20,Senior Engineer,Development
41552,Uno,Heyers,1965-01-03,Engineer,Development
41609,Yucai,Simmen,1965-01-04,Senior Staff,Sales
42778,Shuji,Remmers,1965-01-19,Staff,Human Resources
42911,Brigham,Eterovic,1965-01-29,Senior Engineer,Production
42950,Shaleah,Eickenmeyer,1965-01-22,Senior Staff,Research
42955,Yucel,Lortz,1965-01-12,Engineer,Quality Management
43154,Maha,Waterhouse,1965-01-13,Staff,Finance
43358,Ottavia,Mitsuhashi,1965-01-07,Staff,Marketing
43733,Huei,Boguraev,1965-01-26,Staff,Human Resources
43848,Phillip,Oxenboll,1965-01-11,Engineer,Production
44054,Alenka,Ritcey,1965-01-18,Engineer,Development
44265,Maria,Eppinger,1965-01-24,Engineer,Development
44540,Mingzeng,Sadowski,1965-01-16,Senior Engineer,Development
44900,Mark,Schwaller,1965-01-05,Staff,Marketing
44959,Volkmar,Uhrik,1965-01-21,Engineer,Production
44962,Sariel,Wynblatt,1965-01-16,Assistant Engineer,Development
45162,Dulce,Speel,1965-01-11,Senior Engineer,Development
45590,Masoud,Genin,1965-01-21,Technique Leader,Quality Management
46000,Zhaofang,Penn,1965-01-26,Staff,Customer Service
46015,Weiye,Masand,1965-01-19,Staff,Sales
46222,Mrinalini,Strooper,1965-01-20,Staff,Sales
46328,Wuxu,Trogemann,1965-01-05,Senior Staff,Sales
46531,Yaghout,Peng,1965-01-30,Assistant Engineer,Development
46811,Junsik,Berendt,1965-01-10,Senior Engineer,Production
46834,Tooru,Daescu,1965-01-22,Senior Staff,Sales
46943,Pasqua,Maraist,1965-01-31,Engineer,Development
47016,Toong,Litecky,1965-01-03,Staff,Customer Service
47139,Marco,Usdin,1965-01-25,Engineer,Development
47262,Gonzalo,Binkley,1965-01-10,Senior Engineer,Development
47515,Naraig,Jenevein,1965-01-26,Senior Engineer,Development
47702,Juyoung,Vieri,1965-01-21,Staff,Sales
47708,Edwin,Haldar,1965-01-05,Senior Staff,Marketing
48275,Sariel,Massonet,1965-01-29,Staff,Sales
48690,Hitomi,Schaap,1965-01-12,Staff,Human Resources
48882,Leen,Lamparter,1965-01-28,Engineer,Production
48904,Yuichiro,Malabarba,1965-01-23,Staff,Finance
48947,Filipp,Akaboshi,1965-01-05,Senior Staff,Sales
49010,Kazuhisa,Benantar,1965-01-16,Senior Staff,Marketing
49017,Filipp,Flanders,1965-01-07,Senior Engineer,Development
49119,Lena,Peek,1965-01-09,Engineer,Production
49177,Tze,Bach,1965-01-03,Engineer,Production
49464,Siddarth,Cappelletti,1965-01-14,Staff,Sales
49477,Baocai,Leaver,1965-01-14,Senior Staff,Human Resources
50293,Xinan,Rindone,1965-01-26,Engineer,Production
50311,Mooi,Stafford,1965-01-24,Senior Engineer,Quality Management
50360,Sumali,Kushner,1965-01-18,Engineer,Development
50453,Aron,Harbusch,1965-01-12,Staff,Finance
50587,Slavian,Yemenis,1965-01-26,Technique Leader,Development
50670,Boguslaw,Snedden,1965-01-30,Staff,Marketing
50831,Marie,Khalid,1965-01-06,Senior Engineer,Development
51036,Chriss,Fasbender,1965-01-29,Staff,Sales
51057,Theirry,Albarhamtoshy,1965-01-29,Senior Staff,Marketing
51060,Youngkon,Rohrbach,1965-01-15,Engineer,Development
51118,Fumiko,Mundy,1965-01-17,Staff,Sales
51142,Rosine,Lakshmanan,1965-01-29,Senior Engineer,Development
51502,Slavian,Munawer,1965-01-29,Senior Staff,Sales
51868,Remmert,Munke,1965-01-19,Assistant Engineer,Development
52038,Chikako,Armand,1965-01-13,Senior Engineer,Production
52040,Phule,Heijenga,1965-01-14,Senior Staff,Research
52283,Trygve,Krupka,1965-01-20,Staff,Research
52386,Adas,Denti,1965-01-28,Senior Staff,Sales
52590,Jouni,Munoz,1965-01-21,Staff,Development
52599,Augustine,Mungall,1965-01-25,Senior Engineer,Production
52639,Arup,Colorni,1965-01-09,Senior Staff,Sales
52770,Shugo,Yurek,1965-01-31,Staff,Sales
52778,Alain,Penn,1965-01-15,Technique Leader,Quality Management
52956,Khalil,Picci,1965-01-31,Senior Engineer,Quality Management
52970,Lobel,Werthner,1965-01-22,Senior Engineer,Production
53088,Mechthild,Lamma,1965-01-25,Senior Engineer,Production
53278,Premsyl,Lortz,1965-01-31,Staff,Sales
53314,Eberhardt,Carrera,1965-01-06,Staff,Research
53431,Sham,Vasanthakumar,1965-01-12,Senior Staff,Customer Service
53499,Zdislav,Mandelberg,1965-01-20,Engineer,Production
53597,Jiafu,Marchegay,1965-01-30,Senior Engineer,Development
53746,Manu,Erva,1965-01-21,Staff,Sales
53874,Bodo,Schade,1965-01-23,Staff,Marketing
53891,Olivera,Pargaonkar,1965-01-23,Staff,Human Resources
53924,Arnould,Gaughan,1965-01-27,Engineer,Production
54198,Shaowen,Segond,1965-01-01,Engineer,Development
54632,Etsuo,Serot,1965-01-19,Staff,Finance
54795,Sumant,Nergos,1965-01-29,Senior Staff,Customer Service
54800,Breannda,Cangellaris,1965-01-13,Staff,Sales
55121,Toshiko,Alblas,1965-01-12,Engineer,Production
55640,Adit,Syrotiuk,1965-01-25,Engineer,Production
55670,Ulf,Ranft,1965-01-30,Senior Staff,Finance
55687,Shih,Lindqvist,1965-01-02,Senior Engineer,Development
55799,Jianwen,Litzler,1965-01-23,Senior Engineer,Production
55857,Adin,Scallan,1965-01-18,Staff,Sales
56105,Makato,Remmers,1965-01-11,Senior Engineer,Development
56209,Remzi,Douceur,1965-01-19,Engineer,Production
56415,Sigeru,Nivat,1965-01-30,Senior Staff,Finance
56428,Olivera,Hanabata,1965-01-27,Senior Staff,Sales
56682,Roded,Picco,1965-01-28,Assistant Engineer,Development
56829,Nagui,Gruenwald,1965-01-09,Engineer,Production
56847,Menkae,Chinin,1965-01-14,Senior Engineer,Quality Management
57934,Sanjoy,Boudaillier,1965-01-25,Senior Engineer,Development
57982,Paloma,Benzaken,1965-01-29,Senior Staff,Human Resources
58141,Bezalel,Karner,1965-01-05,Staff,Finance
58147,Shigenori,Sullins,1965-01-09,Senior Staff,Marketing
58217,Kiyotoshi,Kusalik,1965-01-30,Engineer,Quality Management
58384,Mariusz,Vural,1965-01-22,Senior Engineer,Development
58454,Ziya,Zambonelli,1965-01-25,Engineer,Production
58497,Yechiam,Cairo,1965-01-22,Senior Staff,Marketing
58601,Sungwon,Asser,1965-01-06,Staff,Sales
58819,Gennady,Liesche,1965-01-04,Senior Staff,Sales
58990,Palash,Trelles,1965-01-04,Engineer,Development
59195,Ronnie,Pollock,1965-01-08,Technique Leader,Development
59329,Zissis,Bazzichi,1965-01-15,Staff,Sales
59640,Zita,Hiltgen,1965-01-18,Staff,Finance
59661,Saeko,Baik,1965-01-09,Staff,Production
59869,Zsolt,Riefers,1965-02-01,Staff,Marketing
59966,Steen,Salvesen,1965-01-28,Technique Leader,Production
60000,Heekeun,Emmart,1965-01-16,Engineer,Development
60091,Surveyors,Bade,1965-02-01,Staff,Customer Service
60238,Erzsebet,Claffy,1965-01-23,Staff,Sales
60559,Jeanna,Stemann,1965-01-19,Senior Engineer,Production
60821,Moty,Mersereau,1965-01-02,Staff,Human Resources
60845,Bedir,Siegrist,1965-01-14,Engineer,Production
60875,Rildo,Masaki,1965-01-21,Senior Engineer,Quality Management
60959,Tetsushi,Sridhar,1965-01-09,Staff,Sales
61147,Leszek,Werthner,1965-01-30,Staff,Marketing
61253,Cheong,Uhrik,1965-01-09,Senior Engineer,Development
61377,Dannz,Ohori,1965-01-01,Staff,Production
61541,Kasidit,Papsdorf,1965-01-08,Senior Engineer,Development
61680,Hauke,Templeman,1965-01-24,Staff,Sales
61873,Woody,Rusmann,1965-01-19,Engineer,Quality Management
61983,Sastry,Reeken,1965-01-18,Staff,Sales
62033,Heeju,Cappelli,1965-01-24,Senior Engineer,Production
62046,Karlis,Nanard,1965-01-31,Senior Engineer,Production
62167,Mihalis,Haldar,1965-01-25,Senior Engineer,Production
62245,Adel,Bressoud,1965-01-01,Engineer,Development
62384,Akeel,Litzler,1965-01-02,Senior Staff,Research
63294,Tetsushi,Tanemo,1965-01-23,Senior Engineer,Production
63419,Hiroyasu,Seuren,1965-01-14,Senior Engineer,Production
63441,Hinrich,Scallan,1965-01-15,Staff,Human Resources
63444,Padma,Peres,1965-01-19,Staff,Finance
63566,Heekeun,Slaats,1965-01-31,Senior Staff,Sales
63631,Falguni,Cherinka,1965-01-22,Senior Engineer,Customer Service
63706,Sedat,Itzigehl,1965-01-26,Engineer,Development
64023,Laurentiu,Benzmuller,1965-01-11,Senior Engineer,Development
64209,Golgen,Schoegge,1965-01-24,Senior Staff,Customer Service
64431,Faiza,Zongker,1965-01-25,Technique Leader,Production
64487,Tsutomu,Rebaine,1965-01-27,Senior Engineer,Quality Management
64532,Atilio,Segond,1965-01-23,Engineer,Production
64632,Zsolt,Brender,1965-01-07,Senior Staff,Sales
64790,Shin,Piveteau,1965-01-29,Senior Engineer,Development
64828,Krister,Pappas,1965-01-27,Staff,Sales
64984,Eldridge,Eldridge,1965-01-06,Senior Engineer,Production
65013,Chandrasekaran,Peral,1965-01-03,Engineer,Development
65171,Jeane,Tasistro,1965-01-25,Technique Leader,Production
65539,Aksel,Picaronny,1965-01-23,Senior Engineer,Development
65883,Patricia,Pepe,1965-01-07,Staff,Sales
65998,Mandell,Alameldin,1965-01-09,Senior Staff,Sales
66382,Domenico,Candan,1965-01-04,Engineer,Production
66530,Dung,Leaver,1965-01-29,Staff,Research
66643,Jianhao,Tomescu,1965-01-18,Engineer,Production
66702,Deniz,Thibadeau,1965-02-01,Senior Engineer,Development
66757,Yonghong,Baig,1965-01-16,Staff,Marketing
66807,Aiman,Rosaz,1965-01-21,Senior Engineer,Development
67320,Sadok,Lorys,1965-01-18,Senior Staff,Marketing
67548,Fumitaka,Roohalamini,1965-01-11,Staff,Human Resources
67934,Aiman,Gargeya,1965-01-07,Engineer,Production
68022,Kristinn,Pearson,1965-01-12,Staff,Customer Service
68168,Marl,Thiria,1965-01-14,Senior Staff,Customer Service
68263,Fumiko,Bodoff,1965-01-16,Staff,Sales
68416,Munenori,Debuse,1965-01-27,Senior Engineer,Production
68608,Yucai,Seghrouchni,1965-01-26,Engineer,Production
68633,Chinhyun,Rassart,1965-01-28,Senior Engineer,Production
68648,Jaques,DiGiano,1965-01-25,Technique Leader,Development
69052,Shietung,Shrader,1965-01-26,Senior Staff,Sales
69219,Shuky,Redmiles,1965-01-09,Senior Staff,Sales
69867,Miyeon,Rothe,1965-01-22,Staff,Sales
69878,Chinya,Cooke,1965-01-24,Engineer,Development
69936,Lalit,Unni,1965-01-23,Assistant Engineer,Production
70469,Tru,Miyakawa,1965-01-12,Senior Staff,Marketing
70780,Behnaam,Angelov,1965-01-27,Assistant Engineer,Development
70990,Arumugam,Nitta,1965-01-22,Senior Engineer,Production
71066,Domenick,Basart,1965-01-27,Staff,Sales
71141,Sajjad,Vitiello,1965-01-02,Senior Staff,Human Resources
71188,Pranjal,Schapiro,1965-01-02,Staff,Sales
71243,Kinh,Buchter,1965-01-10,Engineer,Production
71334,Cathie,Peck,1965-01-15,Senior Engineer,Research
71685,Kristinn,Olano,1965-01-01,Senior Engineer,Production
71710,Hitomi,Takanami,1965-01-31,Assistant Engineer,Development
71745,Adil,Laventhal,1965-01-02,Engineer,Development
72190,Sajjad,Waeselynck,1965-01-19,Engineer,Development
72194,Feiyu,Siepmann,1965-01-26,Senior Engineer,Production
72232,Naraig,Veldwijk,1965-01-10,Senior Engineer,Quality Management
72640,Honglan,Hutton,1965-01-24,Senior Engineer,Quality Management
72918,Takahira,Szilard,1965-01-22,Senior Staff,Sales
73076,Froduald,Feldhoffer,1965-01-22,Senior Engineer,Development
73233,Shigeo,Merey,1965-01-15,Senior Engineer,Production
73516,Qingxiang,Badache,1965-01-14,Senior Engineer,Production
73743,Anneke,Bernardeschi,1965-01-15,Engineer,Production
73794,Aiichiro,Castellani,1965-01-26,Engineer,Development
73903,Bartek,Cappello,1965-01-29,Engineer,Development
74200,Holgard,Weiland,1965-01-16,Senior Engineer,Production
74237,Jaihie,Vilarrasa,1965-01-29,Engineer,Quality Management
74344,Hiroyasu,Provine,1965-02-01,Engineer,Development
74598,Kolar,Garigliano,1965-01-07,Senior Staff,Marketing
74668,Masako,Bonifati,1965-01-01,Senior Staff,Sales
74800,Yuuichi,Conde,1965-01-25,Engineer,Production
75113,Zissis,Birch,1965-01-22,Senior Engineer,Development
75354,Shuky,Jakobus,1965-01-11,Senior Engineer,Development
75420,Clyde,Vrecion,1965-01-09,Engineer,Quality Management
75703,Kyoichi,Erman,1965-01-08,Senior Engineer,Development
75760,Jahangir,Radhakrishnan,1965-01-21,Technique Leader,Development
75888,Marsal,Otillio,1965-01-31,Staff,Research
76178,Chiradeep,Meriste,1965-01-19,Senior Engineer,Production
76189,Kolar,Hinsberger,1965-01-02,Senior Engineer,Production
76201,Arif,Preusig,1965-01-10,Senior Engineer,Development
76417,Parviz,Duclos,1965-01-31,Senior Engineer,Development
76598,Keung,Ferriere,1965-01-24,Engineer,Production
76640,Tristan,Mitsuhashi,1965-01-02,Senior Engineer,Quality Management
76847,Mariusz,Weiland,1965-01-20,Senior Engineer,Development
77030,Faiza,Garnham,1965-01-02,Technique Leader,Development
77157,Tesuro,Nicolson,1965-01-14,Staff,Customer Service
77303,Xinglin,Birge,1965-01-18,Senior Staff,Customer Service
77647,Niranjan,Schaaf,1965-01-07,Technique Leader,Production
77815,Ronghao,Picaronny,1965-01-21,Engineer,Development
78086,Fabrizio,Anick,1965-01-20,Staff,Research
78106,Ashish,Ratnaker,1965-01-09,Senior Staff,Marketing
78171,Teiji,Hinsberger,1965-01-12,Senior Staff,Customer Service
78363,Susumu,Fritzsche,1965-01-03,Engineer,Quality Management
78469,Leucio,Cappelli,1965-01-28,Staff,Human Resources
78871,Conor,Ghandeharizadeh,1965-01-15,Senior Engineer,Development
79043,Katsuo,Hockney,1965-01-24,Technique Leader,Production
79171,Guiseppe,Ellozy,1965-01-19,Senior Engineer,Production
79190,Tsuneo,Servi,1965-01-18,Staff,Sales
79239,Denny,Griswold,1965-01-07,Senior Engineer,Quality Management
79310,Jeong,Cunliffe,1965-01-24,Senior Staff,Marketing
79606,Arnd,Peir,1965-01-03,Senior Engineer,Development
79640,Marl,Litzkow,1965-01-26,Staff,Research
79722,Make,Remmers,1965-01-17,Staff,Sales
79763,Sanjoy,Barreiro,1965-01-20,Staff,Marketing
79895,Fei,Murtagh,1965-01-30,Senior Staff,Sales
80067,Kazuhisa,Weiland,1965-01-19,Senior Staff,Customer Service
80203,Shakhar,Baik,1965-01-22,Staff,Sales
80432,Stella,Figueira,1965-01-17,Staff,Research
80656,Kwan,Gide,1965-01-09,Engineer,Development
80731,Shaowen,Eldridge,1965-01-25,Senior Staff,Sales
80745,Rimli,Huttel,1965-01-09,Staff,Sales
80850,Koldo,Luit,1965-02-01,Engineer,Production
80889,Shigeo,Linnainmaa,1965-01-07,Senior Engineer,Development
80948,Harjit,Bardell,1965-01-27,Senior Engineer,Development
81105,Jaewon,Boissier,1965-01-14,Engineer,Development
81162,Marco,Klerer,1965-01-28,Engineer,Development
81545,Larisa,Kornyak,1965-01-13,Technique Leader,Development
81619,Gen,Aloisi,1965-01-12,Senior Engineer,Development
81644,Divine,Ghandeharizadeh,1965-01-05,Staff,Sales
81995,Sreekrishna,Brender,1965-01-10,Senior Engineer,Development
82069,Yechezkel,Perfilyeva,1965-01-20,Engineer,Production
82098,Poornachandra,Wilharm,1965-01-25,Engineer,Production
82351,Stevo,Thambidurai,1965-01-26,Senior Staff,Human Resources
82511,Uwe,Koblick,1965-01-27,Engineer,Development
82919,Shigeu,Claffy,1965-01-05,Engineer,Development
82928,Alselm,Rikino,1965-01-27,Senior Engineer,Development
83280,Francesca,Ellozy,1965-01-07,Senior Engineer,Production
83289,Shigeichiro,Engelmann,1965-01-09,Engineer,Development
83509,Breannda,Collavizza,1965-01-04,Senior Engineer,Development
83544,Leaf,Baak,1965-01-18,Staff,Sales
83714,Ohad,Kilgore,1965-01-27,Senior Engineer,Production
83805,Manohar,Harllee,1965-01-23,Senior Engineer,Development
83922,Shunichi,Solovay,1965-01-10,Senior Engineer,Production
83941,Zsolt,Hagimont,1965-01-11,Staff,Research
